dev_username,followers,NoC,AB,NAB,CII,CNII,CE,NCE,INEI,IEI,AddLGM,DelLGM,ChurnLGM,NoMGM,AddLOC,DelLOC,churnLOC,AddF,DelF,AddSAM,DelSAM,ChurnSAM,DiP,ICT,project,job
993b986c42c655ca87bb4352e18d8762,58,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158.2568287037034,579.1284143518517,moduliths,UNKNOW
378a5ad1fb30b145028a73e38d1ccfdd,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001041666666666,5.208333333333334e-05,moduliths,UNKNOW
7cb9a6afefbc6ac1133b654e09caf7fe,5416,113,5.0,153.0,30.0,128.0,19.0,139.0,5.0,0.0,65.0,19.0,46.0,1.0,4233.0,603.0,3630.0,49.0,4.0,0.0,0.0,0.0,779.4139583333333,11.634155034137676,moduliths,SSE
dcb6ae3fcff670e1760d4f646f57a750,132,5,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,83.0,5.0,78.0,2.0,340.0,208.0,132.0,0.0,2.0,0.0,0.0,0.0,124.21773148148148,62.10886574074074,moduliths,UNKNOW
ea9af489c09175a2d23f0bcc5ca843ce,1774,2,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,234.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,moduliths,UNKNOW
065ef375702932d36f3e2bceeed62e35,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ureport,UNKNOW
6bba630cb776051040255f56a68a29fc,42,546,50.0,996.0,340.0,706.0,444.0,602.0,66.0,8.0,24.0,14.0,10.0,8.0,83848.0,20.0,83828.0,1042.0,30.0,338.0,32.0,306.0,427.9731944444445,1.5676673789173778,ureport,SSE
cbff84b8967ee7e97cb1820323534f14,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,120.72951388888887,60.36475694444446,ureport,UNKNOW
a74ae0a24a940882a65ba9766caf0dd4,38,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ureport,UNKNOW
4fc70ad5389d94ac56f38645bb8e332d,338,254,2.0,74.0,4.0,72.0,26.0,50.0,2.0,0.0,8.0,6.0,2.0,0.0,4000.0,2166.0,1834.0,14.0,72.0,0.0,6.0,-6.0,1635.804537037037,12.880350685331,ureport,UNKNOW
86ee06c1690ec46a70d799ba8c313492,126,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,springfox,UNKNOW
54f855ba31d41955ad7fb9559e06b9cf,111,429,27.0,965.0,250.0,742.0,134.0,858.0,53.0,26.0,59.0,65.0,-6.0,10.0,33162.0,1032.0,32130.0,653.0,608.0,0.0,0.0,0.0,1358.9193287037035,12.643516254811349,springfox,SSE
d8e24e39bb8f9db1454c19fc94e09977,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,springfox,UNKNOW
9e6475685f4ef243ed6f13f69b5dbc93,112,2,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,springfox,UNKNOW
fe21a4ec2e28d2b691a4fb0383335bdf,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.1515162037037037,0.0757581018518518,springfox,UNKNOW
56246695ec53f34adb7ad951f213f89e,3,8,0.0,6.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,17.0,198.0,2.0,0.0,0.0,0.0,0.0,86.79269675925926,10.849087094907407,springfox,UNKNOW
d6bc57eb53a20a7dbe577b5a7c5badd3,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,119.53690972222222,39.84563657407407,springfox,UNKNOW
5d4d5b8b4c18cb5d9002a8df5c7e9ae5,21,15,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,38.0,338.0,2.0,0.0,0.0,0.0,0.0,24.694861111111116,4.115810185185185,springfox,UNKNOW
21bf1b690d6528840fbab8369cadf97e,10,2,1.0,5.0,4.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,248.0,22.0,226.0,4.0,0.0,0.0,0.0,0.0,0.0094907407407407,0.0047453703703703,springfox,UNKNOW
ebe4ee30647330f0b1f923e30e67b6e5,71,9,0.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,304.0,36.0,268.0,4.0,0.0,1.0,0.0,1.0,480.8080671296297,53.42311856995885,springfox,SSE
598cc77c633e3deee0ce5572ca67d80c,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,springfox,UNKNOW
